name,email,region,products,profileUrl
Farma Předlánce,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/1
Rousova farma,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/2
Witaminka,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/3
Náš Grunt,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/4
Gubro foods,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/5
reBarbora,barboracahova@seznam.cz,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/6
Broker Consulting,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/7
Zelenina U Tomášů,,Praha / Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/8
MARCUS,,Moravskoslezský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/9
Jagoda,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/10
Ladislav Soukal - Farma Rokytno,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/11
Mandarinka,,Zlínský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/12
Zielony Punkt,,Moravskoslezský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/13
Karotka,,Moravskoslezský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/14
"MALUS, s. r. o.",,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/15
Zelenina Koucká,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/16
Včelí obchůdek,vceliobchudek@seznam.cz,Moravskoslezský kraj,🍯 Přírodní med|🕯️ Včelí vosk|🍶 Propolis|🌸 Pohankový med|🌳 Lesní med,https://mapafarem.cz/farma/17
ziemniaki i pomidory,,Moravskoslezský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/18
Slunečnice,,Jihočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/19
Náš grunt,,Moravskoslezský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/20
Apfelladen,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/21
Ovoce - zelenina U Bizona,,Moravskoslezský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/22
Zdravá výživa,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/23
Pomidorek,,Olomoucký kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/24
Zelenina u Slonků,,Jihomoravský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/25
Zelenina IB,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/26
Kozí Farma Žofín,info@kozifarma-zofin.cz,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/27
"Ovoce, zelenina",,Jihočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/28
Eva's Naturkostladen,,Jihočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/29
Tercie,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/30
Zielony domek,,Moravskoslezský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/31
U Kaluže,,Středočeský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/32
Cytrus,,Pardubický kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/33
Mlékárna Čeladenka,,Moravskoslezský kraj,🥛 Čerstvé mléko|🧀 Sýr|🧈 Máslo|🍦 Tvaroh|🥛 Kefír,https://mapafarem.cz/farma/34
Vitamín,,Zlínský kraj,🥕 Zelenina|🍅 Rajčata|🥬 Listová zelenina|🌽 Kukuřice|🧅 Cibule,https://mapafarem.cz/farma/35
